Sale Item ID,Sale ID,Product ID,Product Name,Quantity,Unit Price,Discount,Line Total
SLITEM-000067,SALE-2026-000067,PROD-000403,Milk Crunch,43.0,9000.0,7700.0,379300.0
SLITEM-000068,SALE-2026-000068,PROD-000503,Cocoa Sandwich,23.0,13100.0,9000.0,292300.0
SLITEM-000069,SALE-2026-000069,PROD-000207,Butter Delight,28.0,4300.0,0.0,120400.0
SLITEM-000070,SALE-2026-000070,PROD-000447,Caramel Cream,17.0,8800.0,4500.0,145100.0
SLITEM-000071,SALE-2026-000071,PROD-000075,Vanilla Cream,12.0,13200.0,0.0,158400.0
SLITEM-000072,SALE-2026-000072,PROD-000075,Vanilla Cream,31.0,13200.0,8200.0,401000.0
SLITEM-000073,SALE-2026-000073,PROD-000017,Rich Chocolate,11.0,4300.0,900.0,46400.0
SLITEM-000074,SALE-2026-000074,PROD-000079,Butter Delight,7.0,7700.0,0.0,53900.0
SLITEM-000075,SALE-2026-000075,PROD-000360,Cocoa Sandwich,5.0,17800.0,0.0,89000.0
SLITEM-000076,SALE-2026-000076,PROD-000002,Coconut Crunch,28.0,14000.0,0.0,392000.0
SLITEM-000077,SALE-2026-000077,PROD-000257,Butter Delight,12.0,12000.0,0.0,144000.0
SLITEM-000078,SALE-2026-000078,PROD-000137,Honey Crunch,18.0,10300.0,5600.0,179800.0
SLITEM-000079,SALE-2026-000079,PROD-000384,Classic Cream,13.0,13700.0,0.0,178100.0
SLITEM-000080,SALE-2026-000080,PROD-000222,Family Pack,38.0,14800.0,16900.0,545500.0
SLITEM-000081,SALE-2026-000081,PROD-000498,Chocolate Delight,30.0,10400.0,0.0,312000.0
SLITEM-000082,SALE-2026-000082,PROD-000313,Classic Crackers,15.0,8200.0,2500.0,120500.0
SLITEM-000083,SALE-2026-000083,PROD-000294,Chocolate Delight,14.0,19200.0,5400.0,263400.0
SLITEM-000084,SALE-2026-000084,PROD-000073,Vanilla Cream,45.0,16600.0,0.0,747000.0
SLITEM-000085,SALE-2026-000085,PROD-000318,Golden Crunch,21.0,15700.0,9900.0,319800.0
SLITEM-000086,SALE-2026-000086,PROD-000479,Butter Delight,10.0,11900.0,0.0,119000.0
SLITEM-000087,SALE-2026-000087,PROD-000371,Butter Delight,26.0,17200.0,0.0,447200.0
SLITEM-000088,SALE-2026-000088,PROD-000465,Chocolate Delight,5.0,8000.0,1200.0,38800.0
SLITEM-000089,SALE-2026-000089,PROD-000226,Rich Chocolate,19.0,5900.0,0.0,112100.0
SLITEM-000090,SALE-2026-000090,PROD-000399,Rich Chocolate,39.0,8300.0,9700.0,314000.0
SLITEM-000091,SALE-2026-000091,PROD-000289,Chocolate Delight,21.0,3700.0,1600.0,76100.0
SLITEM-000092,SALE-2026-000092,PROD-000250,Golden Crunch,34.0,15900.0,0.0,540600.0
SLITEM-000093,SALE-2026-000093,PROD-000131,Cocoa Sandwich,31.0,8800.0,8200.0,264600.0
SLITEM-000094,SALE-2026-000094,PROD-000399,Rich Chocolate,37.0,8300.0,9200.0,297900.0
SLITEM-000095,SALE-2026-000095,PROD-000060,Honey Crunch,36.0,3800.0,0.0,136800.0
SLITEM-000096,SALE-2026-000096,PROD-000442,Classic Cream,15.0,16300.0,0.0,244500.0
SLITEM-000097,SALE-2026-000097,PROD-000420,Classic Cream,41.0,11900.0,9800.0,478100.0
SLITEM-000098,SALE-2026-000098,PROD-000091,Premium Wafer,12.0,7600.0,0.0,91200.0
SLITEM-000099,SALE-2026-000099,PROD-000418,Butter Delight,6.0,3500.0,0.0,21000.0
SLITEM-000100,SALE-2026-000100,PROD-000172,Family Pack,5.0,3600.0,500.0,17500.0
SLITEM-000101,SALE-2026-000101,PROD-000149,Cocoa Sandwich,44.0,13100.0,11500.0,564900.0
SLITEM-000102,SALE-2026-000102,PROD-000053,Honey Crunch,29.0,5900.0,0.0,171100.0
SLITEM-000103,SALE-2026-000103,PROD-000479,Butter Delight,33.0,11900.0,7900.0,384800.0
SLITEM-000104,SALE-2026-000104,PROD-000170,Caramel Cream,45.0,13900.0,0.0,625500.0
SLITEM-000105,SALE-2026-000105,PROD-000451,Butter Delight,33.0,18300.0,0.0,603900.0
SLITEM-000106,SALE-2026-000106,PROD-000222,Family Pack,23.0,14800.0,6800.0,333600.0
SLITEM-000107,SALE-2026-000107,PROD-000450,Honey Crunch,13.0,12600.0,3300.0,160500.0
SLITEM-000108,SALE-2026-000108,PROD-000065,Classic Cream,39.0,13100.0,0.0,510900.0
SLITEM-000109,SALE-2026-000109,PROD-000222,Family Pack,15.0,14800.0,0.0,222000.0
SLITEM-000110,SALE-2026-000110,PROD-000406,Caramel Cream,37.0,6400.0,7100.0,229700.0
SLITEM-000111,SALE-2026-000111,PROD-000171,Honey Crunch,34.0,17800.0,0.0,605200.0
SLITEM-000112,SALE-2026-000112,PROD-000122,Chocolate Delight,16.0,9800.0,3100.0,153700.0
SLITEM-000113,SALE-2026-000113,PROD-000093,Caramel Cream,28.0,18000.0,0.0,504000.0
SLITEM-000114,SALE-2026-000114,PROD-000383,Butter Delight,14.0,18700.0,0.0,261800.0
SLITEM-000115,SALE-2026-000115,PROD-000302,Rich Chocolate,15.0,6000.0,1800.0,88200.0
SLITEM-000116,SALE-2026-000116,PROD-000508,Caramel Cream,41.0,4300.0,0.0,176300.0
SLITEM-000117,SALE-2026-000117,PROD-000500,Golden Crunch,30.0,7000.0,0.0,210000.0
SLITEM-000118,SALE-2026-000118,PROD-000155,Premium Wafer,32.0,19200.0,0.0,614400.0
SLITEM-000119,SALE-2026-000119,PROD-000265,Classic Cream,25.0,6700.0,0.0,167500.0
SLITEM-000120,SALE-2026-000120,PROD-000080,Family Pack,23.0,13800.0,6300.0,311100.0
SLITEM-000121,SALE-2026-000121,PROD-000006,Caramel Cream,50.0,3300.0,0.0,165000.0
